mode: set
hyper/internal/middleware/auth.go:16.46,24.17 5 1
hyper/internal/middleware/auth.go:24.17,27.31 2 1
hyper/internal/middleware/auth.go:27.31,31.4 3 1
hyper/internal/middleware/auth.go:34.2,38.21 3 1
hyper/internal/middleware/auth.go:38.21,41.3 2 0
hyper/internal/middleware/auth.go:44.2,44.30 1 1
hyper/internal/middleware/auth.go:44.30,46.23 2 1
hyper/internal/middleware/auth.go:46.23,52.4 3 1
hyper/internal/middleware/auth.go:55.3,56.46 2 1
hyper/internal/middleware/auth.go:56.46,62.4 3 0
hyper/internal/middleware/auth.go:64.3,67.84 2 1
hyper/internal/middleware/auth.go:67.84,69.59 1 1
hyper/internal/middleware/auth.go:69.59,71.5 1 0
hyper/internal/middleware/auth.go:72.4,72.33 1 1
hyper/internal/middleware/auth.go:75.3,75.17 1 1
hyper/internal/middleware/auth.go:75.17,82.4 4 0
hyper/internal/middleware/auth.go:84.3,84.19 1 1
hyper/internal/middleware/auth.go:84.19,90.4 3 0
hyper/internal/middleware/auth.go:93.3,94.10 2 1
hyper/internal/middleware/auth.go:94.10,100.4 3 0
hyper/internal/middleware/auth.go:104.3,107.46 2 1
hyper/internal/middleware/auth.go:107.46,109.4 1 1
hyper/internal/middleware/auth.go:109.9,109.54 1 0
hyper/internal/middleware/auth.go:109.54,111.4 1 0
hyper/internal/middleware/auth.go:111.9,111.50 1 0
hyper/internal/middleware/auth.go:111.50,113.4 1 0
hyper/internal/middleware/auth.go:113.9,113.77 1 0
hyper/internal/middleware/auth.go:113.77,114.45 1 0
hyper/internal/middleware/auth.go:114.45,116.5 1 0
hyper/internal/middleware/auth.go:120.3,120.49 1 1
hyper/internal/middleware/auth.go:120.49,122.4 1 1
hyper/internal/middleware/auth.go:122.9,122.57 1 0
hyper/internal/middleware/auth.go:122.57,124.4 1 0
hyper/internal/middleware/auth.go:124.9,124.77 1 0
hyper/internal/middleware/auth.go:124.77,125.52 1 0
hyper/internal/middleware/auth.go:125.52,127.5 1 0
hyper/internal/middleware/auth.go:131.3,131.19 1 1
hyper/internal/middleware/auth.go:131.19,137.4 3 0
hyper/internal/middleware/auth.go:139.3,139.22 1 1
hyper/internal/middleware/auth.go:139.22,144.4 2 0
hyper/internal/middleware/auth.go:147.3,157.11 5 1
hyper/internal/ai-service/tools/bash_tool.go:39.34,41.2 1 0
hyper/internal/ai-service/tools/bash_tool.go:44.41,46.2 1 0
hyper/internal/ai-service/tools/bash_tool.go:49.76,51.66 2 1
hyper/internal/ai-service/tools/bash_tool.go:51.66,53.3 1 1
hyper/internal/ai-service/tools/bash_tool.go:56.2,56.48 1 1
hyper/internal/ai-service/tools/bash_tool.go:56.48,58.3 1 1
hyper/internal/ai-service/tools/bash_tool.go:61.2,62.46 2 1
hyper/internal/ai-service/tools/bash_tool.go:62.46,63.44 1 1
hyper/internal/ai-service/tools/bash_tool.go:63.44,65.4 1 1
hyper/internal/ai-service/tools/bash_tool.go:69.2,69.37 1 1
hyper/internal/ai-service/tools/bash_tool.go:69.37,71.3 1 0
hyper/internal/ai-service/tools/bash_tool.go:74.2,75.18 2 1
hyper/internal/ai-service/tools/bash_tool.go:75.18,77.3 1 1
hyper/internal/ai-service/tools/bash_tool.go:80.2,91.45 8 1
hyper/internal/ai-service/tools/bash_tool.go:91.45,93.3 1 1
hyper/internal/ai-service/tools/bash_tool.go:95.2,99.16 2 1
hyper/internal/ai-service/tools/bash_tool.go:99.16,100.47 1 1
hyper/internal/ai-service/tools/bash_tool.go:100.47,104.4 3 1
hyper/internal/ai-service/tools/bash_tool.go:104.9,106.4 1 0
hyper/internal/ai-service/tools/bash_tool.go:107.8,110.3 2 1
hyper/internal/ai-service/tools/bash_tool.go:112.2,113.16 2 1
hyper/internal/ai-service/tools/bash_tool.go:113.16,115.3 1 0
hyper/internal/ai-service/tools/bash_tool.go:117.2,117.28 1 1
hyper/internal/ai-service/tools/file_tool.go:40.38,42.2 1 0
hyper/internal/ai-service/tools/file_tool.go:45.45,47.2 1 0
hyper/internal/ai-service/tools/file_tool.go:50.80,52.66 2 1
hyper/internal/ai-service/tools/file_tool.go:52.66,54.3 1 0
hyper/internal/ai-service/tools/file_tool.go:57.2,58.16 2 1
hyper/internal/ai-service/tools/file_tool.go:58.16,60.3 1 1
hyper/internal/ai-service/tools/file_tool.go:61.2,65.16 3 1
hyper/internal/ai-service/tools/file_tool.go:65.16,67.3 1 0
hyper/internal/ai-service/tools/file_tool.go:69.2,69.18 1 1
hyper/internal/ai-service/tools/file_tool.go:69.18,71.3 1 1
hyper/internal/ai-service/tools/file_tool.go:74.2,75.45 2 1
hyper/internal/ai-service/tools/file_tool.go:75.45,77.3 1 1
hyper/internal/ai-service/tools/file_tool.go:80.2,80.35 1 1
hyper/internal/ai-service/tools/file_tool.go:80.35,82.3 1 1
hyper/internal/ai-service/tools/file_tool.go:85.2,86.16 2 1
hyper/internal/ai-service/tools/file_tool.go:86.16,88.3 1 0
hyper/internal/ai-service/tools/file_tool.go:91.2,92.25 2 1
hyper/internal/ai-service/tools/file_tool.go:92.25,94.3 1 1
hyper/internal/ai-service/tools/file_tool.go:96.2,104.16 3 1
hyper/internal/ai-service/tools/file_tool.go:104.16,106.3 1 0
hyper/internal/ai-service/tools/file_tool.go:108.2,108.28 1 1
hyper/internal/ai-service/tools/file_tool.go:128.39,130.2 1 0
hyper/internal/ai-service/tools/file_tool.go:133.46,135.2 1 0
hyper/internal/ai-service/tools/file_tool.go:138.81,140.67 2 1
hyper/internal/ai-service/tools/file_tool.go:140.67,142.3 1 0
hyper/internal/ai-service/tools/file_tool.go:145.2,146.16 2 1
hyper/internal/ai-service/tools/file_tool.go:146.16,148.3 1 1
hyper/internal/ai-service/tools/file_tool.go:149.2,153.38 3 1
hyper/internal/ai-service/tools/file_tool.go:153.38,155.3 1 1
hyper/internal/ai-service/tools/file_tool.go:158.2,158.27 1 1
hyper/internal/ai-service/tools/file_tool.go:158.27,160.48 2 1
hyper/internal/ai-service/tools/file_tool.go:160.48,162.4 1 0
hyper/internal/ai-service/tools/file_tool.go:166.2,167.67 2 1
hyper/internal/ai-service/tools/file_tool.go:167.67,169.3 1 0
hyper/internal/ai-service/tools/file_tool.go:171.2,171.65 1 1
hyper/internal/ai-service/tools/file_tool.go:171.65,174.3 2 0
hyper/internal/ai-service/tools/file_tool.go:176.2,182.16 3 1
hyper/internal/ai-service/tools/file_tool.go:182.16,184.3 1 0
hyper/internal/ai-service/tools/file_tool.go:186.2,186.28 1 1
hyper/internal/ai-service/tools/file_tool.go:221.43,223.2 1 0
hyper/internal/ai-service/tools/file_tool.go:226.50,228.2 1 0
hyper/internal/ai-service/tools/file_tool.go:231.85,233.66 2 1
hyper/internal/ai-service/tools/file_tool.go:233.66,235.3 1 0
hyper/internal/ai-service/tools/file_tool.go:238.2,238.31 1 1
hyper/internal/ai-service/tools/file_tool.go:238.31,240.3 1 1
hyper/internal/ai-service/tools/file_tool.go:241.2,241.42 1 1
hyper/internal/ai-service/tools/file_tool.go:241.42,243.3 1 0
hyper/internal/ai-service/tools/file_tool.go:244.2,244.26 1 1
hyper/internal/ai-service/tools/file_tool.go:244.26,246.3 1 0
hyper/internal/ai-service/tools/file_tool.go:249.2,250.16 2 1
hyper/internal/ai-service/tools/file_tool.go:250.16,252.3 1 1
hyper/internal/ai-service/tools/file_tool.go:253.2,257.16 3 1
hyper/internal/ai-service/tools/file_tool.go:257.16,259.3 1 0
hyper/internal/ai-service/tools/file_tool.go:261.2,261.19 1 1
hyper/internal/ai-service/tools/file_tool.go:261.19,264.3 2 1
hyper/internal/ai-service/tools/file_tool.go:267.2,269.25 2 1
hyper/internal/ai-service/tools/file_tool.go:269.25,271.92 1 1
hyper/internal/ai-service/tools/file_tool.go:271.92,272.18 1 1
hyper/internal/ai-service/tools/file_tool.go:272.18,274.5 1 0
hyper/internal/ai-service/tools/file_tool.go:277.4,277.91 1 1
hyper/internal/ai-service/tools/file_tool.go:277.91,278.18 1 1
hyper/internal/ai-service/tools/file_tool.go:278.18,280.6 1 0
hyper/internal/ai-service/tools/file_tool.go:281.5,281.15 1 1
hyper/internal/ai-service/tools/file_tool.go:285.4,285.32 1 1
hyper/internal/ai-service/tools/file_tool.go:285.32,287.31 2 0
hyper/internal/ai-service/tools/file_tool.go:287.31,289.6 1 0
hyper/internal/ai-service/tools/file_tool.go:293.4,296.38 2 1
hyper/internal/ai-service/tools/file_tool.go:296.38,298.5 1 0
hyper/internal/ai-service/tools/file_tool.go:300.4,300.14 1 1
hyper/internal/ai-service/tools/file_tool.go:303.3,303.34 1 1
hyper/internal/ai-service/tools/file_tool.go:303.34,305.4 1 0
hyper/internal/ai-service/tools/file_tool.go:306.8,309.17 2 1
hyper/internal/ai-service/tools/file_tool.go:309.17,311.4 1 0
hyper/internal/ai-service/tools/file_tool.go:313.3,313.32 1 1
hyper/internal/ai-service/tools/file_tool.go:313.32,315.65 1 1
hyper/internal/ai-service/tools/file_tool.go:315.65,316.13 1 1
hyper/internal/ai-service/tools/file_tool.go:320.4,320.32 1 1
hyper/internal/ai-service/tools/file_tool.go:320.32,322.31 2 0
hyper/internal/ai-service/tools/file_tool.go:322.31,323.14 1 0
hyper/internal/ai-service/tools/file_tool.go:327.4,330.38 2 1
hyper/internal/ai-service/tools/file_tool.go:330.38,331.10 1 0
hyper/internal/ai-service/tools/file_tool.go:337.2,342.24 4 1
hyper/internal/ai-service/tools/file_tool.go:342.24,344.3 1 0
hyper/internal/ai-service/tools/file_tool.go:346.2,347.22 2 1
hyper/internal/ai-service/tools/file_tool.go:347.22,349.3 1 1
hyper/internal/ai-service/tools/file_tool.go:351.2,355.21 3 1
hyper/internal/ai-service/tools/file_tool.go:355.21,357.3 1 0
hyper/internal/ai-service/tools/file_tool.go:357.8,357.32 1 1
hyper/internal/ai-service/tools/file_tool.go:357.32,359.3 1 0
hyper/internal/ai-service/tools/file_tool.go:361.2,369.16 3 1
hyper/internal/ai-service/tools/file_tool.go:369.16,371.3 1 0
hyper/internal/ai-service/tools/file_tool.go:373.2,373.28 1 1
hyper/internal/ai-service/tools/file_tool.go:378.48,380.35 1 1
hyper/internal/ai-service/tools/file_tool.go:380.35,382.3 1 0
hyper/internal/ai-service/tools/file_tool.go:385.2,385.34 1 1
hyper/internal/ai-service/tools/file_tool.go:385.34,387.3 1 1
hyper/internal/ai-service/tools/file_tool.go:390.2,394.16 3 1
hyper/internal/ai-service/tools/file_tool.go:394.16,396.3 1 0
hyper/internal/ai-service/tools/file_tool.go:399.2,399.44 1 1
hyper/internal/ai-service/tools/file_tool.go:399.44,400.25 1 1
hyper/internal/ai-service/tools/file_tool.go:400.25,402.4 1 1
hyper/internal/ai-service/tools/file_tool.go:403.3,403.87 1 0
hyper/internal/ai-service/tools/file_tool.go:407.2,408.23 2 1
hyper/internal/ai-service/tools/file_tool.go:408.23,410.55 2 0
hyper/internal/ai-service/tools/file_tool.go:410.55,411.39 1 0
hyper/internal/ai-service/tools/file_tool.go:411.39,413.10 2 0
hyper/internal/ai-service/tools/file_tool.go:416.3,416.15 1 0
hyper/internal/ai-service/tools/file_tool.go:416.15,418.4 1 0
hyper/internal/ai-service/tools/file_tool.go:421.2,421.21 1 1
hyper/internal/ai-service/tools/file_tool.go:426.56,428.35 1 1
hyper/internal/ai-service/tools/file_tool.go:428.35,430.3 1 0
hyper/internal/ai-service/tools/file_tool.go:433.2,433.34 1 1
hyper/internal/ai-service/tools/file_tool.go:433.34,435.3 1 1
hyper/internal/ai-service/tools/file_tool.go:438.2,442.16 3 1
hyper/internal/ai-service/tools/file_tool.go:442.16,444.3 1 0
hyper/internal/ai-service/tools/file_tool.go:447.2,448.23 2 1
hyper/internal/ai-service/tools/file_tool.go:448.23,450.55 2 0
hyper/internal/ai-service/tools/file_tool.go:450.55,451.39 1 0
hyper/internal/ai-service/tools/file_tool.go:451.39,453.10 2 0
hyper/internal/ai-service/tools/file_tool.go:456.3,456.15 1 0
hyper/internal/ai-service/tools/file_tool.go:456.15,458.4 1 0
hyper/internal/ai-service/tools/file_tool.go:461.2,461.21 1 1
hyper/internal/ai-service/tools/filesystem_registration.go:16.42,18.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:20.49,22.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:24.65,39.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:41.108,44.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:44.16,46.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:49.2,50.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:50.16,52.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:55.2,56.64 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:56.64,58.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:60.2,60.20 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:68.46,70.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:72.53,74.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:76.69,87.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:89.112,91.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:91.16,93.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:95.2,96.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:96.16,98.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:100.2,101.64 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:101.64,103.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:105.2,105.20 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:113.47,115.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:117.54,119.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:121.70,136.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:138.113,140.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:140.16,142.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:144.2,145.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:145.16,147.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:149.2,150.64 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:150.64,152.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:154.2,154.20 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:162.51,164.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:166.58,168.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:170.74,185.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:187.117,189.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:189.16,191.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:193.2,194.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:194.16,196.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:198.2,199.64 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:199.64,201.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:203.2,203.20 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:211.48,213.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:215.55,217.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:219.71,234.2 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:236.114,238.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:238.16,240.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:242.2,243.16 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:243.16,245.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:247.2,248.64 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:248.64,250.3 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:252.2,252.20 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:257.70,266.29 2 0
hyper/internal/ai-service/tools/filesystem_registration.go:266.29,267.49 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:267.49,269.4 1 0
hyper/internal/ai-service/tools/filesystem_registration.go:272.2,272.12 1 0
hyper/internal/ai-service/tools/patch_tool.go:40.40,42.2 1 0
hyper/internal/ai-service/tools/patch_tool.go:45.47,47.2 1 0
hyper/internal/ai-service/tools/patch_tool.go:50.82,52.67 2 1
hyper/internal/ai-service/tools/patch_tool.go:52.67,54.3 1 1
hyper/internal/ai-service/tools/patch_tool.go:57.2,58.16 2 1
hyper/internal/ai-service/tools/patch_tool.go:58.16,60.3 1 0
hyper/internal/ai-service/tools/patch_tool.go:61.2,64.56 2 1
hyper/internal/ai-service/tools/patch_tool.go:64.56,66.3 1 0
hyper/internal/ai-service/tools/patch_tool.go:69.2,70.16 2 1
hyper/internal/ai-service/tools/patch_tool.go:70.16,72.3 1 0
hyper/internal/ai-service/tools/patch_tool.go:74.2,78.16 3 1
hyper/internal/ai-service/tools/patch_tool.go:78.16,85.3 3 0
hyper/internal/ai-service/tools/patch_tool.go:88.2,93.29 5 1
hyper/internal/ai-service/tools/patch_tool.go:93.29,95.57 1 1
hyper/internal/ai-service/tools/patch_tool.go:95.57,98.4 2 1
hyper/internal/ai-service/tools/patch_tool.go:101.3,102.17 2 1
hyper/internal/ai-service/tools/patch_tool.go:102.17,104.12 2 1
hyper/internal/ai-service/tools/patch_tool.go:107.3,109.26 3 1
hyper/internal/ai-service/tools/patch_tool.go:113.2,113.27 1 1
hyper/internal/ai-service/tools/patch_tool.go:113.27,116.3 2 1
hyper/internal/ai-service/tools/patch_tool.go:119.2,119.44 1 1
hyper/internal/ai-service/tools/patch_tool.go:119.44,121.85 2 1
hyper/internal/ai-service/tools/patch_tool.go:121.85,123.4 1 0
hyper/internal/ai-service/tools/patch_tool.go:126.2,133.16 3 1
hyper/internal/ai-service/tools/patch_tool.go:133.16,135.3 1 0
hyper/internal/ai-service/tools/patch_tool.go:137.2,137.32 1 1
hyper/internal/ai-service/tools/patch_tool.go:141.47,145.21 3 1
hyper/internal/ai-service/tools/patch_tool.go:145.21,149.36 2 1
hyper/internal/ai-service/tools/patch_tool.go:149.36,151.22 2 1
hyper/internal/ai-service/tools/patch_tool.go:151.22,152.13 1 0
hyper/internal/ai-service/tools/patch_tool.go:155.4,157.23 3 1
hyper/internal/ai-service/tools/patch_tool.go:157.23,158.13 1 0
hyper/internal/ai-service/tools/patch_tool.go:161.4,165.39 3 1
hyper/internal/ai-service/tools/patch_tool.go:165.39,169.5 3 1
hyper/internal/ai-service/tools/patch_tool.go:169.10,172.5 2 0
hyper/internal/ai-service/tools/patch_tool.go:175.4,176.39 2 1
hyper/internal/ai-service/tools/patch_tool.go:176.39,180.5 3 1
hyper/internal/ai-service/tools/patch_tool.go:180.10,183.5 2 0
hyper/internal/ai-service/tools/patch_tool.go:186.4,187.23 2 1
hyper/internal/ai-service/tools/patch_tool.go:187.23,189.158 2 1
hyper/internal/ai-service/tools/patch_tool.go:189.158,191.11 1 0
hyper/internal/ai-service/tools/patch_tool.go:193.5,193.46 1 1
hyper/internal/ai-service/tools/patch_tool.go:196.4,196.31 1 1
hyper/internal/ai-service/tools/patch_tool.go:200.2,200.38 1 1
hyper/internal/ai-service/tools/patch_tool.go:200.38,202.3 1 0
hyper/internal/ai-service/tools/patch_tool.go:204.2,204.21 1 1
hyper/internal/ai-service/tools/patch_tool.go:204.21,206.3 1 0
hyper/internal/ai-service/tools/patch_tool.go:208.2,208.19 1 1
hyper/internal/ai-service/tools/patch_tool.go:212.80,217.34 4 1
hyper/internal/ai-service/tools/patch_tool.go:217.34,218.21 1 1
hyper/internal/ai-service/tools/patch_tool.go:218.21,219.12 1 0
hyper/internal/ai-service/tools/patch_tool.go:222.3,222.18 1 1
hyper/internal/ai-service/tools/patch_tool.go:223.12,225.37 1 1
hyper/internal/ai-service/tools/patch_tool.go:225.37,227.5 1 0
hyper/internal/ai-service/tools/patch_tool.go:228.4,228.80 1 1
hyper/internal/ai-service/tools/patch_tool.go:228.80,231.5 1 0
hyper/internal/ai-service/tools/patch_tool.go:232.4,233.12 2 1
hyper/internal/ai-service/tools/patch_tool.go:235.12,237.37 1 1
hyper/internal/ai-service/tools/patch_tool.go:237.37,239.5 1 0
hyper/internal/ai-service/tools/patch_tool.go:241.4,241.97 1 1
hyper/internal/ai-service/tools/patch_tool.go:241.97,244.5 1 1
hyper/internal/ai-service/tools/patch_tool.go:245.4,246.13 2 1
hyper/internal/ai-service/tools/patch_tool.go:248.12,251.13 2 1
hyper/internal/ai-service/tools/patch_tool.go:253.11,255.12 1 0
hyper/internal/ai-service/tools/patch_tool.go:259.2,259.29 1 1
hyper/internal/ai-service/tools/path_utils.go:13.30,16.45 2 1
hyper/internal/ai-service/tools/path_utils.go:16.45,19.3 2 1
hyper/internal/ai-service/tools/path_utils.go:21.2,23.12 3 0
hyper/internal/ai-service/tools/path_utils.go:27.30,28.23 1 1
hyper/internal/ai-service/tools/path_utils.go:28.23,30.3 1 1
hyper/internal/ai-service/tools/path_utils.go:31.2,31.20 1 1
hyper/internal/ai-service/tools/path_utils.go:38.34,39.26 1 1
hyper/internal/ai-service/tools/path_utils.go:39.26,41.42 1 1
hyper/internal/ai-service/tools/path_utils.go:41.42,44.4 1 1
hyper/internal/ai-service/tools/path_utils.go:49.3,50.7 2 1
hyper/internal/ai-service/tools/path_utils.go:50.7,52.72 2 1
hyper/internal/ai-service/tools/path_utils.go:52.72,54.10 1 0
hyper/internal/ai-service/tools/path_utils.go:57.4,57.48 1 1
hyper/internal/ai-service/tools/path_utils.go:57.48,60.5 1 1
hyper/internal/ai-service/tools/path_utils.go:62.4,62.24 1 1
hyper/internal/ai-service/tools/path_utils.go:67.3,67.95 1 0
hyper/internal/ai-service/tools/path_utils.go:69.2,69.13 1 0
hyper/internal/ai-service/tools/path_utils.go:76.46,80.65 2 1
hyper/internal/ai-service/tools/path_utils.go:80.65,82.3 1 1
hyper/internal/ai-service/tools/path_utils.go:85.2,85.45 1 1
hyper/internal/ai-service/tools/path_utils.go:85.45,90.20 2 0
hyper/internal/ai-service/tools/path_utils.go:90.20,92.4 1 0
hyper/internal/ai-service/tools/path_utils.go:95.3,95.24 1 0
hyper/internal/ai-service/tools/path_utils.go:99.2,99.16 1 1
hyper/internal/ai-service/tools/path_utils.go:103.40,106.38 3 1
hyper/internal/ai-service/tools/path_utils.go:106.38,107.42 1 1
hyper/internal/ai-service/tools/path_utils.go:107.42,109.4 1 0
hyper/internal/ai-service/tools/path_utils.go:111.2,111.14 1 1
hyper/internal/services/ai_settings_service.go:25.95,42.16 4 0
hyper/internal/services/ai_settings_service.go:42.16,44.3 1 0
hyper/internal/services/ai_settings_service.go:47.2,53.16 2 0
hyper/internal/services/ai_settings_service.go:53.16,55.3 1 0
hyper/internal/services/ai_settings_service.go:58.2,61.16 2 0
hyper/internal/services/ai_settings_service.go:61.16,63.3 1 0
hyper/internal/services/ai_settings_service.go:65.2,66.21 2 0
hyper/internal/services/ai_settings_service.go:70.108,78.16 4 0
hyper/internal/services/ai_settings_service.go:78.16,79.34 1 0
hyper/internal/services/ai_settings_service.go:79.34,82.4 1 0
hyper/internal/services/ai_settings_service.go:83.3,83.69 1 0
hyper/internal/services/ai_settings_service.go:86.2,86.33 1 0
hyper/internal/services/ai_settings_service.go:90.109,108.16 5 0
hyper/internal/services/ai_settings_service.go:108.16,110.3 1 0
hyper/internal/services/ai_settings_service.go:112.2,112.30 1 0
hyper/internal/services/ai_settings_service.go:112.30,116.3 1 0
hyper/internal/services/ai_settings_service.go:116.8,120.3 1 0
hyper/internal/services/ai_settings_service.go:122.2,122.12 1 0
hyper/internal/services/ai_settings_service.go:126.117,135.16 4 0
hyper/internal/services/ai_settings_service.go:135.16,137.3 1 0
hyper/internal/services/ai_settings_service.go:138.2,141.52 3 0
hyper/internal/services/ai_settings_service.go:141.52,143.3 1 0
hyper/internal/services/ai_settings_service.go:145.2,145.23 1 0
hyper/internal/services/ai_settings_service.go:149.129,157.16 4 0
hyper/internal/services/ai_settings_service.go:157.16,158.34 1 0
hyper/internal/services/ai_settings_service.go:158.34,160.4 1 0
hyper/internal/services/ai_settings_service.go:161.3,161.65 1 0
hyper/internal/services/ai_settings_service.go:164.2,164.23 1 0
hyper/internal/services/ai_settings_service.go:168.150,182.16 4 0
hyper/internal/services/ai_settings_service.go:182.16,184.3 1 0
hyper/internal/services/ai_settings_service.go:186.2,192.22 2 0
hyper/internal/services/ai_settings_service.go:196.173,199.16 2 0
hyper/internal/services/ai_settings_service.go:199.16,201.3 1 0
hyper/internal/services/ai_settings_service.go:203.2,203.39 1 0
hyper/internal/services/ai_settings_service.go:203.39,205.3 1 0
hyper/internal/services/ai_settings_service.go:207.2,217.16 3 0
hyper/internal/services/ai_settings_service.go:217.16,219.3 1 0
hyper/internal/services/ai_settings_service.go:221.2,221.30 1 0
hyper/internal/services/ai_settings_service.go:221.30,223.3 1 0
hyper/internal/services/ai_settings_service.go:225.2,230.42 2 0
hyper/internal/services/ai_settings_service.go:234.120,237.16 2 0
hyper/internal/services/ai_settings_service.go:237.16,239.3 1 0
hyper/internal/services/ai_settings_service.go:241.2,241.31 1 0
hyper/internal/services/ai_settings_service.go:241.31,243.3 1 0
hyper/internal/services/ai_settings_service.go:246.2,247.16 2 0
hyper/internal/services/ai_settings_service.go:247.16,249.3 1 0
hyper/internal/services/ai_settings_service.go:251.2,251.30 1 0
hyper/internal/services/ai_settings_service.go:251.30,253.3 1 0
hyper/internal/services/ai_settings_service.go:255.2,259.12 2 0
hyper/internal/services/chat_service.go:25.83,42.16 4 1
hyper/internal/services/chat_service.go:42.16,44.3 1 0
hyper/internal/services/chat_service.go:47.2,50.16 2 1
hyper/internal/services/chat_service.go:50.16,52.3 1 0
hyper/internal/services/chat_service.go:55.2,61.16 2 1
hyper/internal/services/chat_service.go:61.16,63.3 1 0
hyper/internal/services/chat_service.go:65.2,66.21 2 1
hyper/internal/services/chat_service.go:70.120,82.16 4 1
hyper/internal/services/chat_service.go:82.16,84.3 1 0
hyper/internal/services/chat_service.go:86.2,91.21 2 1
hyper/internal/services/chat_service.go:95.116,104.16 4 1
